Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
753,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32,1992,32,14.7,32.9,44.7,551,466.9,1.75,1.75,100,5.28,5.34,98.8,7.66,25.6,30,0,0.01,0,-0.01,0.03,0.88,0,0,0.03,Matches
754,Ritsu Doan,jp JPN,"FW,MF",Freiburg,de Bundesliga,26,1998,31.8,24.6,34.3,71.8,379.6,135.3,13.1,16,81.5,8.84,11.7,75.3,1.7,3.46,49.1,0.22,0.12,0.19,0.1,0.85,2.2,1.51,0.47,4.09,Matches
755,Dodô,br BRA,DF,Fiorentina,it Serie A,25,1998,34.6,38.8,49.9,77.6,695.5,212.2,15.8,18.4,85.8,19.3,23.3,82.7,3.21,6.21,51.6,0.14,0.12,0.12,0.02,1.04,2.31,1.16,0.64,3.7,Matches
756,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26,1998,34,29.3,37.4,78.3,522.7,178.2,11.9,13.6,87.9,14.3,16.3,87.6,2.44,5.76,42.3,0.03,0.04,0.03,-0.01,0.38,2.38,0.18,0.09,2.82,Matches
757,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,32,1992,23.4,46.1,55.6,82.8,859.1,281.4,18.6,20.6,90.1,22,25.3,87,4.91,7.95,61.8,0.04,0.06,0.05,-0.02,0.51,4.02,0.64,0.04,3.38,Matches
758,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22,2002,16.8,35.9,45.4,79.1,503.8,89.6,23.8,27.6,86.4,10.9,13.5,81,0.83,1.25,66.7,0.36,0.29,0.23,0.07,1.9,0.71,2.86,0.36,4.11,Matches
759,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,2006,3.4,10,14.4,69.4,136.8,38.8,6.47,8.24,78.6,1.76,2.94,60,0.88,1.47,60,0,0.06,0.09,-0.06,1.47,0,1.18,0.59,1.18,Matches
760,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26,1998,0.2,40,55,72.7,1275,975,10,10,100,10,10,100,15,30,50,0,0,0,0,0,0,0,0,0,Matches
761,Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,20,2003,14.2,19.2,24.5,78.2,262.3,44,13.2,15,87.8,4.51,5.85,77.1,0.92,1.48,61.9,0.14,0.06,0.06,0.08,0.7,0.85,0.92,0.07,2.25,Matches
762,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23,2001,13.1,65.3,73.8,88.5,1217.9,422.2,19.6,20.7,94.8,41.4,44.4,93.1,3.51,7.1,49.5,0,0.01,0.02,-0.01,0.15,4.89,0,0,5.04,Matches
763,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21,2003,0.2,10,10,100,120,0,5,5,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
764,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,26,1998,21.8,37.7,43.4,86.7,550.2,155.4,21.2,23.3,91.1,12.8,14.3,89.4,1.56,2.52,61.8,0.05,0.06,0.07,-0.01,0.6,3.72,0.5,0.05,3.81,Matches
765,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19,2005,1.9,90,94.7,95,1668.9,558.9,30,30,100,55.8,58.9,94.6,3.68,5.26,70,0,0,0,0,0,6.84,0,0,6.84,Matches
766,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25,1999,23.2,23.8,27.2,87.3,524.7,305.7,5.09,5.09,100,14.3,14.5,98.8,4.35,7.63,57.1,0,0,0,0,0,0.13,0,0,0,Matches
767,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,19,2004,9.4,42.6,52.6,81,599,137.8,26.6,29.8,89.3,13.2,16.9,78,1.28,2.98,42.9,0,0.07,0.14,-0.07,1.28,2.45,1.17,0.21,3.62,Matches
768,Patrick Dorgu,dk DEN,"DF,FW",Lecce,it Serie A,19,2004,20.4,28.4,36.7,77.5,476.2,130.4,13.7,15.9,86.4,11.3,13.5,84,2.5,4.71,53.1,0.05,0.07,0.05,-0.02,0.93,2.06,1.03,0.39,2.65,Matches
769,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,19,2005,0.2,75,80,93.8,1520,195,30,35,85.7,35,35,100,10,10,100,0,0,0,0,0,0,0,0,0,Matches
770,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26,1998,0.4,55,65,84.6,855,192.5,30,30,100,22.5,30,75,2.5,2.5,100,0,0,0,0,0,2.5,0,0,2.5,Matches
771,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,26,1998,14.8,38.7,46.4,83.4,742.4,206.8,15.5,16.7,93.1,16.7,18.4,90.5,5.47,9.19,59.6,0.14,0.07,0.14,0.06,0.88,3.11,1.08,0.54,3.85,Matches
772,Alberto Dossena,it ITA,DF,Como,it Serie A,25,1998,20.3,44,50.2,87.6,822.3,268,15.3,16.6,92.3,25,26.9,92.7,3.2,5.42,59.1,0.1,0.03,0.02,0.06,0.25,1.63,0.05,0,1.77,Matches
773,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,31,1993,28.5,25.4,31.7,80.3,382.8,79.1,13.4,15.6,85.7,9.23,11.1,83.2,1.54,2.11,73.3,0.07,0.08,0.05,-0.01,0.98,1.54,0.53,0,2.88,Matches
774,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24,2000,5,34.8,40.8,85.3,581.8,164.6,16.8,18.8,89.4,14,15.6,89.7,3.2,4,80,0,0,0.02,0,0.2,3.4,0.6,0,3.8,Matches
775,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,19,2005,0.1,40,50,80,900,540,10,10,100,20,20,100,10,20,50,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
776,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19,2005,19.2,48.6,59,82.3,724.8,174.5,27,29.7,90.9,17.2,20.8,82.7,2.5,4.58,54.5,0.31,0.41,0.3,-0.09,2.86,4.32,2.66,0.83,7.24,Matches
777,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,21,2002,30.2,55.9,67,83.4,991.5,416,22.8,24.5,93.2,29.1,33.6,86.6,3.38,7.15,47.2,0.07,0.02,0.04,0.04,0.36,5.07,0.46,0.2,5.73,Matches
778,Douglas,br BRA,MF,Nantes,fr Ligue 1,27,1997,25.6,40.2,46.5,86.5,682.7,210.2,18.2,20.1,90.5,17.6,19.4,90.9,3.13,4.3,72.7,0.08,0.06,0.05,0.02,0.59,4.22,0.47,0.04,4.88,Matches
779,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21,2003,29.3,51,57.5,88.7,865.9,261.3,21.8,23.2,93.8,25.8,28,92,2.7,4.54,59.4,0.03,0.04,0.02,0,0.38,3.45,0.03,0,3.96,Matches
780,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,20,2003,10.4,19.5,26.1,74.9,259.8,63.1,11.5,13.6,85.1,6.25,8.27,75.6,0.38,1.25,30.8,0,0.01,0.02,-0.01,0.29,1.63,0.1,0,2.12,Matches
781,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21,2003,14.7,38.2,47.4,80.5,630.4,150.7,18.3,19.9,91.8,15,18.1,82.7,3.27,6.26,52.2,0.14,0.08,0.12,0.05,1.77,3.81,0.61,0.07,4.9,Matches
782,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,16,2007,0.5,38,50,76,504,132,26,28,92.9,12,18,66.7,0,0,,0,0,0,0,0,0,0,0,2,Matches
783,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,24,1999,6.4,12.7,16.6,76.4,156.9,23.4,8.75,9.84,88.9,2.34,3.13,75,0.78,1.09,71.4,0.31,0.17,0.11,0.14,1.41,0.94,0.16,0,0.94,Matches
784,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24,1999,7.8,9.74,13.7,71,137.7,18.8,5,6.79,73.6,3.85,4.74,81.1,0.26,0.26,100,0.13,0.03,0.03,0.1,0.38,0.26,0.13,0,0.77,Matches
785,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27,1997,26.9,11.9,16.1,74.1,130.7,16.1,7.88,10.2,77.1,2.3,2.97,77.5,0.19,0.22,83.3,0.07,0.09,0.06,-0.01,0.93,0.63,0.15,0,0.59,Matches
786,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,25,1999,23.9,42,46.4,90.4,612.8,121,24.1,25.9,93.1,14.7,16,92.1,1.55,2.22,69.8,0,0.05,0.06,-0.05,0.63,2.59,0.5,0,2.76,Matches
787,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22,2001,5.4,59.4,72.6,81.9,1220.6,372.2,20.7,22,94.1,25.6,28.7,89,11.3,17.2,65.6,0.19,0.09,0.06,0.09,1.3,8.15,0.56,0,7.41,Matches
788,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,22,2002,13.9,51.5,60.4,85.2,981.2,377.7,16,17.6,91,31.4,33.8,93,3.38,7.7,43.9,0,0.03,0.01,-0.03,0.29,3.74,0.14,0.07,2.66,Matches
789,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31,1993,21,26.9,41,65.7,910.3,751.2,3.29,3.29,100,10.9,11.1,97.9,12.7,26.3,48.3,0,0,0,0,0,0.33,0,0,0,Matches
790,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19,2005,4,38.3,45,85,667.3,255.3,19,20.5,92.7,15.3,17.3,88.4,3.5,5.25,66.7,0,0,0.05,0,0.25,3.25,0.5,0,4,Matches
791,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29,1995,20.7,24,30.6,78.5,536.3,180.2,5.46,6.81,80.1,14.3,15.9,89.7,4.11,7.44,55.2,0,0,0,0,0.1,2.03,0,0,2.27,Matches
792,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35,1989,10,26.5,33.3,79.6,593.2,308.2,5.8,5.8,100,16.1,16.1,100,4.5,11.2,40.2,0,0,0,0,0,0,0,0,0,Matches
793,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30,1994,26.9,20.8,33.8,61.7,365.6,119.5,9.03,11.9,76.2,6.88,10.8,63.6,3.23,7.43,43.5,0.3,0.32,0.34,-0.02,2.27,1.6,1.12,0.3,3.2,Matches
794,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29,1994,26.6,35.5,45.3,78.3,627.1,204.4,17,18.6,91.1,12.9,15.6,82.7,4.29,8.38,51.1,0.11,0.12,0.1,-0.01,1.2,3.8,0.9,0.26,4.4,Matches
795,Duk,cv CPV,"MF,FW",Leganés,es La Liga,24,2000,2,16.5,26.5,62.3,231.5,67.5,10.5,12.5,84,5.5,8.5,64.7,0,1,0,0,0.35,0.2,-0.35,2.5,0,1,0.5,1.5,Matches
796,Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,28,1996,21.7,27.8,38.3,72.6,450.5,137.9,14.8,17.4,85.4,10.6,15.3,69,2.07,3.5,59.2,0.09,0.15,0.13,-0.06,0.97,1.01,0.97,0.41,2.35,Matches
797,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,31,1993,10.6,38.1,47,81.1,639.2,179.1,18.2,20.7,88.1,15.8,17.5,89.8,3.02,6.04,50,0,0.1,0.09,-0.1,1.04,3.49,1.79,0.38,5,Matches
798,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32,1991,23.1,77,84.5,91,1426,459.4,28.9,30,96.4,41.3,43.4,95.2,6.19,9.87,62.7,0,0.02,0.04,-0.02,0.26,6.8,0.26,0,6.15,Matches
799,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,20,2003,7.1,16.2,23,70.6,219.4,43.2,9.58,11.8,81,4.79,7.04,68,0.7,1.55,45.5,0,0.03,0.04,-0.03,0.56,1.41,0.14,0,1.83,Matches
800,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23,2001,15.5,18.3,25.8,71,269.7,47.4,10.1,12.5,80.9,6.32,8,79,1.03,2.39,43.2,0.26,0.18,0.06,0.08,1.1,1.35,0.65,0.19,1.94,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
801,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,18,2006,3.1,19,27.1,70.2,276.1,55.2,12.9,15.2,85.1,4.84,8.39,57.7,0.97,2.26,42.9,0,0.1,0.29,-0.1,0.32,0.97,0.32,0.32,2.26,Matches
802,Hugo Duro,es ESP,FW,Valencia,es La Liga,24,1999,24.1,12.3,17.8,69.2,170.1,20.4,7.14,9.25,77.1,3.98,5.48,72.7,0.46,0.87,52.4,0.08,0.05,0.02,0.03,0.58,0.75,0.12,0,1.16,Matches
803,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27,1997,6,39.7,50.7,78.3,637.7,261.8,20.5,23.5,87.2,16,18.7,85.7,2.83,6.17,45.9,0,0.02,0.02,-0.02,0.17,3.67,0.33,0.33,3.67,Matches
804,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30,1993,15.7,38,46.4,81.8,635.7,151.7,20.1,22,91,11.3,13.6,83.1,4.59,7.26,63.2,0.19,0.32,0.33,-0.13,2.55,2.99,1.66,0.32,5.03,Matches
805,Stefan Džodić,rs SRB,"DF,MF",Montpellier,fr Ligue 1,19,2005,2.7,58.5,65.2,89.8,1056.3,323.7,23.3,26.3,88.7,30.7,31.9,96.5,3.7,5.93,62.5,0,0,0,0,0,4.81,0,0,3.7,Matches
806,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,de Bundesliga,28,1995,4.1,42.2,51.7,81.6,715.9,294.6,17.3,19,91,20.7,22.7,91.4,2.93,7.32,40,0,0,0.02,0,0,2.68,0.24,0,3.41,Matches
807,Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,26,1998,29.9,29.4,40.6,72.5,543.3,184.2,13.8,15.9,86.6,11.4,14.9,76.2,3.95,7.22,54.6,0.07,0.15,0.19,-0.09,1.51,2.44,1.67,0.47,4.21,Matches
808,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,25,1999,1,48,55,87.3,897,201,16,20,80,26,28,92.9,5,6,83.3,0,0,0,0,1,7,0,0,5,Matches
809,Tyronne Ebuehi,ng NGA,"DF,MF",Empoli,it Serie A,28,1995,0.8,41.3,57.5,71.7,578.8,236.3,25,33.8,74.1,12.5,16.3,76.9,1.25,1.25,100,0,0,0.13,0,0,3.75,1.25,1.25,5,Matches
810,Claudio Echeverri,ar ARG,FW,Manchester City,eng Premier League,18,2006,0.1,30,30,100,260,180,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0,10,Matches
811,Ederson,br BRA,GK,Manchester City,eng Premier League,30,1993,25.8,31.4,35.8,87.9,770.7,512.1,5.5,5.5,100,18.3,18.6,98.3,7.52,11.5,65.3,0.16,0.06,0.01,0.1,0.16,0.81,0.04,0,0.08,Matches
812,Éderson,br BRA,MF,Atalanta,it Serie A,25,1999,32,53.1,61.4,86.5,977.7,265.6,20.3,23.2,87.7,27,29.1,92.8,5.09,6.84,74.4,0.03,0.13,0.15,-0.1,1.16,6.03,1.28,0.16,6.75,Matches
813,Noah Edjouma,fr FRA,"MF,FW",Toulouse,fr Ligue 1,18,2005,1.9,18.9,27.4,69.2,217.9,83.7,10.5,12.6,83.3,5.79,7.89,73.3,0,1.58,0,0,0.05,0.05,-0.05,0.53,1.05,1.05,0.53,3.68,Matches
814,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,26,1997,0,1,2,50,9,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
815,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,26,1998,1.3,13.1,21.5,60.7,176.9,35.4,8.46,12.3,68.8,3.08,5.38,57.1,0.77,0.77,100,0,0,0,0,0.77,1.54,0,0,3.08,Matches
816,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,26,1998,0.3,20,26.7,75,196.7,16.7,10,13.3,75,3.33,3.33,100,0,0,,0,0,0,0,3.33,0,0,0,3.33,Matches
817,Samuel Edozie,eng ENG,"DF,FW",Southampton,eng Premier League,21,2003,0.7,35.7,47.1,75.8,451.4,95.7,27.1,30,90.5,8.57,10,85.7,0,4.29,0,0,0.14,0.29,-0.14,1.43,0,4.29,0,5.71,Matches
818,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,21,2003,0.1,50,50,100,1090,0,0,0,,50,50,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
819,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26,1998,20.6,19.6,26.6,73.9,272.3,50.6,10.7,13.3,81,6.02,7.48,80.5,1.07,1.89,56.4,0.19,0.1,0.06,0.09,1.17,1.21,0.44,0.1,2.09,Matches
820,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27,1996,31.6,38.4,45.9,83.5,594.9,162.5,19.5,22.1,88.1,16.7,19.1,87.6,1.3,2.18,59.4,0,0.05,0.08,-0.05,0.6,4.15,0.51,0.09,4.46,Matches
821,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29,1995,27.8,27.1,35.3,76.7,460.4,147.3,12.6,14.5,86.6,11.5,14.4,79.9,2.27,4.39,51.6,0.04,0.08,0.06,-0.04,0.79,1.04,0.76,0.58,1.98,Matches
822,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,26,1998,10.7,33.9,41.6,81.6,556,104.9,18.6,20.6,90.5,10.9,13.1,83.6,3.46,4.95,69.8,0.09,0.18,0.11,-0.08,1.96,1.68,1.87,0.47,3.55,Matches
823,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,17,2006,8.5,12.9,19.4,66.7,167.9,45.5,7.29,9.76,74.7,3.65,5.65,64.6,0.47,0.94,50,0.12,0.12,0.07,0,1.29,0.94,0.47,0,1.65,Matches
824,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22,2002,28.5,17.1,22.6,75.5,225.1,41.8,10.9,13.2,82.8,4.14,5.44,76.1,0.74,1.19,61.8,0.28,0.24,0.19,0.04,1.54,0.84,1.09,0.14,1.86,Matches
825,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,24,2000,21,26.2,32.9,79.7,408.7,98.1,13.8,16,85.8,10.2,12.4,82.7,1.38,2.19,63,0.1,0.06,0.06,0.03,0.71,2,0.52,0.1,3.43,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
826,Jacques Ekomie,ga GAB,"DF,FW",Angers,fr Ligue 1,20,2003,7.7,23.8,33.8,70.4,330.1,141.4,14.5,16.8,86.8,7.4,10.3,72.2,1.04,3.38,30.8,0,0,0.01,0,0,1.3,0.39,0,2.6,Matches
827,Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22,2002,2.1,14.3,21,68.2,211.4,40.5,8.1,11.4,70.8,5.24,6.67,78.6,0.48,0.48,100,0,0.05,0.05,-0.05,0.95,0.95,0.95,0,2.38,Matches
828,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30,1994,6.2,11.6,17.3,67.3,166.1,29.2,6.29,9.03,69.6,4.35,5.81,75,0.32,0.97,33.3,0.48,0.13,0.03,0.35,1.29,0.97,0.16,0,1.29,Matches
829,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,22,2002,28.6,49.1,55.7,88.2,829.1,260,23.6,25.3,93,20.6,22.3,92,3.95,6.05,65.3,0,0.03,0.06,-0.03,0.56,5.03,0.66,0,5.1,Matches
830,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,22,2002,27.8,19.4,29.7,65.3,288.5,95.7,11.4,13.9,82.2,5.4,8.35,64.7,1.65,4.71,35.1,0.4,0.21,0.18,0.19,1.8,1.15,0.94,0.29,2.27,Matches
831,Meschak Elia,cd COD,FW,Nantes,fr Ligue 1,26,1997,1.9,18.4,32.6,56.5,263.2,106.8,11.6,15.3,75.9,5.26,10.5,50,1.05,3.16,33.3,0,0.11,0.11,-0.11,1.58,1.58,0,0,2.63,Matches
832,Mikael Ellertsson,is ISL,"DF,MF",Venezia,it Serie A,22,2002,27.4,15.7,22.2,71,231.8,75.8,8.83,11,80.4,5.8,7.81,74.3,0.55,1.82,30,0.07,0.06,0.07,0.01,0.73,0.84,0.29,0.04,1.31,Matches
833,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,21,2003,4.1,58.5,71.2,82.2,1015.6,247.8,29.3,31.7,92.3,22.2,26.3,84.3,5.37,8.05,66.7,0.49,0.27,0.17,0.22,2.44,6.34,1.46,0,10.7,Matches
834,Elif Elmas,mk MKD,"FW,MF",Torino,it Serie A,24,1999,11.3,23.9,29.7,80.4,367.7,93,13.2,14.7,89.8,8.67,10.4,83.8,1.24,2.48,50,0,0.04,0.1,-0.04,0.8,1.95,1.33,0.44,3.01,Matches
835,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,24,1999,0.5,26,32,81.3,338,132,16,18,88.9,8,8,100,0,2,0,0,0,0,0,0,0,2,0,4,Matches
836,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,30,1994,16.2,47.8,56,85.4,904,301.2,17.7,18.7,94.4,25.1,27.7,90.4,4.63,7.84,59.1,0,0.01,0.02,-0.01,0.25,3.58,0.12,0,3.15,Matches
837,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,27,1996,23.7,59.1,64.2,92,960.5,268.2,28.9,30.3,95.4,26.3,28.3,93.1,2.95,4.22,70,0.04,0.02,0.01,0.03,0.21,2.19,0.08,0,2.32,Matches
838,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32,1992,17.9,21.4,33.5,63.9,341,83,12.2,15.2,80.1,5.81,8.72,66.7,2.4,6.59,36.4,0.06,0.15,0.14,-0.09,1.12,1.28,0.95,0.56,2.51,Matches
839,Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,27,1997,20.5,14.6,21.1,69.2,212,55,8.39,11.7,71.7,4.78,5.9,81,0.83,1.41,58.6,0.2,0.27,0.18,-0.08,1.56,1.07,1.12,0,2.68,Matches
840,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21,2003,25.5,10.7,13.3,80.3,132.3,13.6,6.82,8.39,81.3,2.78,3.06,91,0.2,0.27,71.4,0.12,0.09,0.03,0.02,0.71,0.16,0.16,0,0.55,Matches
841,Emerson,br BRA,DF,Milan,it Serie A,25,1999,15.3,51.2,59.4,86.2,820.9,209,24.8,27.3,90.9,23.2,25.5,91,2.09,3.53,59.3,0,0.05,0.07,-0.05,0.98,2.88,0.92,0.33,4.44,Matches
842,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,eng Premier League,18,2006,0.5,52,72,72.2,916,168,26,32,81.3,18,24,75,8,10,80,0,0,0,0,0,4,0,0,4,Matches
843,Julio Enciso,py PAR,"MF,FW",Ipswich Town,eng Premier League,20,2004,9.7,17.6,25.6,69,286.5,84.4,8.14,10.5,77.5,7.42,10,74.2,1.03,2.27,45.5,0.31,0.14,0.11,0.16,1.34,1.86,0.82,0.1,2.89,Matches
844,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,20,2004,3.3,30,45.5,66,443.6,118.8,18.5,22.7,81.3,8.79,12.1,72.5,1.52,6.67,22.7,0,0.06,0.09,-0.06,1.52,3.94,1.21,0.3,4.24,Matches
845,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,31,1993,3,60.7,64.7,93.8,944.3,233.3,30.3,32.3,93.8,25.7,26.7,96.3,2.67,2.67,100,0,0.03,0.03,-0.03,0.67,5.33,0.33,0,6.33,Matches
846,Endrick,br BRA,FW,Real Madrid,es La Liga,18,2006,4,14.8,18.8,78.7,234.8,30,7.75,9.25,83.8,4.5,5.75,78.3,1.5,1.75,85.7,0,0.13,0.05,-0.13,1,0.25,0.5,0,2,Matches
847,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,23,2001,12.9,48.2,54.3,88.7,747.9,186,24.8,26.7,92.8,19.6,21.1,93,2.25,3.26,69,0.08,0.12,0.11,-0.04,0.93,3.02,0.16,0,4.19,Matches
848,Arne Engels,be BEL,"MF,FW",Augsburg,de Bundesliga,20,2003,0.9,21.1,30,70.4,216.7,63.3,15.6,17.8,87.5,2.22,3.33,66.7,0,3.33,0,0,0,0,0,0,2.22,0,0,1.11,Matches
849,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32,1992,11.8,50,63.5,78.8,842,265.3,26.4,28.7,92,16.4,20.5,80.2,5.25,11,47.7,0.17,0.27,0.22,-0.1,2.63,4.58,1.1,0.51,4.66,Matches
850,Martin Erlic,hr CRO,DF,Bologna,it Serie A,26,1998,3.7,59.5,64.9,91.7,1244.3,375.4,15.4,16.2,95,35.9,38.1,94.3,7.57,9.73,77.8,0,0,0,0,0,3.24,0,0,2.97,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
851,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,29,1995,9.2,51,55.4,92,892.4,334.3,17.4,18.9,92,30.4,31.3,97.2,2.17,3.48,62.5,0,0.01,0.02,-0.01,0.33,1.09,0,0,2.72,Matches
852,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32,1992,9.3,39.2,52.8,74.3,609,268.5,21.4,23.7,90.5,15.1,20.1,74.9,2.15,6.56,32.8,0.11,0.06,0.06,0.04,0.54,3.76,0.65,0.54,4.19,Matches
853,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22,2002,25.9,17.2,28.5,60.2,265.2,104.5,8.8,12,73.5,5.17,8.07,64.1,1.81,4.05,44.8,0,0.08,0.08,-0.08,1.39,2.2,1.2,0.19,3.59,Matches
854,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19,2005,1.5,21.3,28,76.2,316.7,134.7,13.3,15.3,87,6.67,9.33,71.4,1.33,2.67,50,0.67,0.27,0.27,0.4,2,1.33,0.67,0,4.67,Matches
855,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,26,1998,18.2,10.7,16.5,64.8,138.8,23.6,6.26,8.46,74,3.19,4.89,65.2,0.27,0.44,62.5,0.11,0.07,0.08,0.04,0.6,0.6,0.33,0.11,1.15,Matches
